2026-06-23 18:14:31 | INFO     | market_maker | Initializing Agent market_maker with RabbitMQ host localhost.
2026-06-23 18:14:31 | INFO     | market_maker | TraderAgent market_maker initialized with cash balance $1,000,000.00
2026-06-23 18:14:31 | INFO     | market_maker | market_maker slow loop configured: strategist=LLMStrategist, interval=0:05:00
2026-06-23 18:14:31 | INFO     | market_maker | AMLMarketMakerTrader market_maker initialized: strategy_state=MarketMakerStrategyState(strategy_type='market_making', risk_mode='normal', confidence=1.0, reason=None, updated_at=None, fair_price=100.0, spread=0.2, quote_size=100, target_inventory=10000, inventory_skew=0.001)
2026-06-23 18:14:31 | INFO     | market_maker | Attempting to connect to RabbitMQ at localhost...
2026-06-23 18:14:31 | INFO     | market_maker | Time routing key: trader.#
2026-06-23 18:14:31 | INFO     | market_maker | Agent market_maker bound to time exchange 'time_exchange'.
2026-06-23 18:14:31 | INFO     | market_maker | Started consuming messages.
2026-06-23 18:14:31 | INFO     | market_maker | Started consuming TIME_TICK messages.
2026-06-23 18:14:31 | INFO     | market_maker | Subscription confirmation for AAPL: subscribed
2026-06-23 18:14:51 | INFO     | market_maker | Received TIME_TICK message: 2025-03-01T09:30:00+00:00
2026-06-23 18:14:51 | INFO     | market_maker | market_maker slow loop completed: strategist=LLMStrategist, before={'strategy_type': 'market_making', 'risk_mode': 'normal', 'confidence': 1.0, 'reason': None, 'updated_at': None, 'fair_price': 100.0, 'spread': 0.2, 'quote_size': 100, 'target_inventory': 10000, 'inventory_skew': 0.001}, after={'strategy_type': 'market_making', 'risk_mode': 'normal', 'confidence': 0.75, 'reason': 'Static market-maker LLM test response: quote slightly wider and manage inventory conservatively.', 'updated_at': '2025-03-01T09:30:00+00:00', 'fair_price': 100.0, 'spread': 0.25, 'quote_size': 100, 'target_inventory': 10000, 'inventory_skew': 0.0015}
2026-06-23 18:14:51 | INFO     | market_maker | Order 12668d92-088b-43b3-af1f-aae27ee2670d submitted: BUY 100 AAPL @ 99.88
2026-06-23 18:14:51 | INFO     | market_maker | Order f5e6d5f2-e74f-4264-9c15-42ccf3bfa13c submitted: SELL 100 AAPL @ 100.12
2026-06-23 18:14:51 | INFO     | market_maker | Order 12668d92-088b-43b3-af1f-aae27ee2670d confirmed with status: ACTIVE
2026-06-23 18:14:51 | INFO     | market_maker | Order f5e6d5f2-e74f-4264-9c15-42ccf3bfa13c confirmed with status: ACTIVE
2026-06-23 18:14:56 | INFO     | market_maker | Received TIME_TICK message: 2025-03-01T09:30:30+00:00
2026-06-23 18:14:56 | INFO     | market_maker | Cancellation request sent for order 12668d92-088b-43b3-af1f-aae27ee2670d
2026-06-23 18:14:56 | INFO     | market_maker | Cancellation request sent for order f5e6d5f2-e74f-4264-9c15-42ccf3bfa13c
2026-06-23 18:14:56 | INFO     | market_maker | Order 12668d92-088b-43b3-af1f-aae27ee2670d canceled: AAPL BUY 100
2026-06-23 18:14:56 | INFO     | market_maker | Order 828a4aa5-5e43-456e-a133-61b7a8f3bf46 submitted: BUY 100 AAPL @ 99.88
2026-06-23 18:14:56 | INFO     | market_maker | Order aa035a45-e529-4d08-8897-76400111934d submitted: SELL 100 AAPL @ 100.12
2026-06-23 18:14:56 | INFO     | market_maker | Order f5e6d5f2-e74f-4264-9c15-42ccf3bfa13c canceled: AAPL SELL 100
2026-06-23 18:14:56 | INFO     | market_maker | Order 828a4aa5-5e43-456e-a133-61b7a8f3bf46 confirmed with status: ACTIVE
2026-06-23 18:14:56 | INFO     | market_maker | Order aa035a45-e529-4d08-8897-76400111934d confirmed with status: ACTIVE
2026-06-23 18:15:01 | INFO     | market_maker | Received TIME_TICK message: 2025-03-01T09:31:00+00:00
2026-06-23 18:15:01 | INFO     | market_maker | Cancellation request sent for order aa035a45-e529-4d08-8897-76400111934d
2026-06-23 18:15:01 | INFO     | market_maker | Cancellation request sent for order 828a4aa5-5e43-456e-a133-61b7a8f3bf46
2026-06-23 18:15:01 | INFO     | market_maker | Order aa035a45-e529-4d08-8897-76400111934d canceled: AAPL SELL 100
2026-06-23 18:15:01 | INFO     | market_maker | Order d117f0e6-6456-43e3-ba42-29bf93589e23 submitted: BUY 100 AAPL @ 99.88
2026-06-23 18:15:01 | INFO     | market_maker | Order 661084d0-ab74-4319-b507-318ec87cf324 submitted: SELL 100 AAPL @ 100.12
2026-06-23 18:15:01 | INFO     | market_maker | Order 828a4aa5-5e43-456e-a133-61b7a8f3bf46 canceled: AAPL BUY 100
2026-06-23 18:15:01 | INFO     | market_maker | Order d117f0e6-6456-43e3-ba42-29bf93589e23 confirmed with status: ACTIVE
2026-06-23 18:15:01 | INFO     | market_maker | Order 661084d0-ab74-4319-b507-318ec87cf324 confirmed with status: ACTIVE
2026-06-23 18:15:06 | INFO     | market_maker | Received TIME_TICK message: 2025-03-01T09:31:30+00:00
2026-06-23 18:15:06 | INFO     | market_maker | Cancellation request sent for order 661084d0-ab74-4319-b507-318ec87cf324
2026-06-23 18:15:06 | INFO     | market_maker | Cancellation request sent for order d117f0e6-6456-43e3-ba42-29bf93589e23
2026-06-23 18:15:06 | INFO     | market_maker | Order 661084d0-ab74-4319-b507-318ec87cf324 canceled: AAPL SELL 100
